podc_id,auth_id,podc_title,podc_language
29b1f929a70f466dbd8d51a75be7a269        ,155                                     ,Pure Grace Church                                                                                   ,English             
eef86788de344dd2804a816a009fa674        ,156                                     ,Pulse Media                                                                                         ,English             
215436d57bb24e3b93cbc6387229895d        ,157                                     ,Prophetic Guitar - Releasing the frequencies of David                                               ,English             
97bee0816164461e8261804ab5c6b283        ,158                                     ,Prophetess Olivia's Podcast                                                                         ,English             
0779781047554af181fc912e34c952f3        ,159                                     ,UU Church of Kent Ohio                                                                              ,English             
a993741b608c40f0a92c60c8398ce5cf        ,160                                     ,Podcast - Mosaic                                                                                    ,English             
555cb77a10d24e808c4bb9fd7d8901c6        ,161                                     ,Podcast - Mahurangi Vineyard Church                                                                 ,English             
f9f5a833a28f42b5aad106b92bd20ccc        ,162                                     ,Julian Ungar-Sargon                                                                                 ,English             
3ccb5d97562b4dcfa647fd3b9c5be1a6        ,163                                     ,Urban Life Church - Podcast                                                                         ,English             
f22fb0fa417b4db69c3d28d634b72f5d        ,164                                     ,Urban City Radio                                                                                    ,English             
ab41772b82264b87a9253d5edf905868        ,165                                     ,Upper Room Community                                                                                ,English             
660f7d69788f48708da240f851d7686d        ,166                                     ,Podcast - Calvary Chapel Walnut Creek                                                               ,English             
4d9c0a3754c14290bde92f4f5476cd39        ,167                                     ,Twin Cities Bible Church                                                                            ,English             
7fab00da42884ae0b60f2c73300b4d8f        ,168                                     ,Upbeat                                                                                              ,English             
b517b859f82348d2b9a4e99d6872d761        ,169                                     ,UPC Sunday Sermons                                                                                  ,English             
aeed571983034ea5a76a2985dd7c6522        ,170                                     ,TV Broadcast on SermonAudio.com                                                                     ,English             
07a50f963d5c47e9aa1962d64c31e274        ,171                                     ,Unity Church of Overland Park - Sunday Lessons                                                      ,English             
388f39fd5519417a86b010976d3b55ca        ,172                                     ,UnitedLife's Podcasts                                                                               ,English             
6932476bbcd24aaaa1ee959f3c027f35        ,173                                     ,Mission Church Podcasts                                                                             ,English             
8e666ad3b9e54d5eaef5c4f7b51f3a8b        ,174                                     ,Mission Baptist Church                                                                              ,English             
82481057ab954593afc0c28f53ee3322        ,175                                     ,Masters of Divinity                                                                                 ,English             
da187ae2c0b246a493cd4d9c29a907e0        ,176                                     ,Meditations by Gregory T. Obert                                                                     ,English             
e3d372bd07824dce8e3fc63e0adff590        ,177                                     ,Meditation in the City: A Shambhala Podcast                                                         ,English             
cad5ec6b48d74a81971adc5ec3f7e148        ,178                                     ,Magnificat Media                                                                                    ,English             
b48882dca3f046c5b161f6dd9cd41bae        ,179                                     ,Morning Mindfulness - Two Positive Minutes to Start Your Day with Dr. Jin                           ,English             
30caffb516cd4e82a3d67d815544d0f8        ,180                                     ,Media Presbyterian Church: Sermons                                                                  ,English             
910cef686de842cc9965e7922d327fde        ,181                                     ,Gregory Dickow Podcast                                                                              ,English             
144c7038901b461db9fe26b5a29f1cab        ,182                                     ,Milton Baptist Church                                                                               ,English             
7ff42970d84b4dd4af5aed1ae06084c5        ,183                                     ,Mildura Church of Christ's Podcast                                                                  ,English             
0b4a37f2a86544a593be2a2aa374f638        ,184                                     ,Messages - Catalyst Church                                                                          ,English             
da0f18986c0a40deac7be6bb32b03502        ,185                                     ,Messages - City Life Church                                                                         ,English             
bd3d6b61334a4f36898d56484fa53888        ,186                                     ,Bethel Community Church                                                                             ,English             
3d8897da184a4399847a5aeb41e049de        ,187                                     ,Messages - BELIEVING CHURCH                                                                         ,English             
e9e6b47824b94cd4ae6df5de9cc82dbb        ,188                                     ,MN Zen Meditation Center: Sunday Talks                                                              ,English             
75f0006e48484d3e80e7dbfe678ffd8d        ,189                                     ,M.B.Om Podcast | Mastering the Business of Yoga                                                     ,English             
4a2bd704033b417687465e817200e22b        ,190                                     ,Marne United Methodist Church Podcast                                                               ,English             
